split,feature,mean_feature_attention,standard_deviation_across_cases,median_across_cases,minimum_case_attention,maximum_case_attention,mean_combined_attention_summed_across_time,validation_rank
val,bis,0.5851911902427673,0.03275754302740097,0.5889652967453003,0.5354899168014526,0.6434528231620789,0.8193658590316772,1
val,ppf_cp,0.11833920329809189,0.016741102561354637,0.11771771311759949,0.08733630925416946,0.14470696449279785,0.049058154225349426,2
val,rftn_cp,0.048982128500938416,0.014591743238270283,0.05144263803958893,0.017094023525714874,0.074162058532238,0.022834038361907005,3
val,ppf_rate,0.03145044296979904,0.004275619518011808,0.03084644488990307,0.025633929297327995,0.03762619569897652,0.013116678223013878,4
val,rftn_volume,0.027411429211497307,0.003474155208095908,0.02719295583665371,0.022602278739213943,0.032960180193185806,0.019683873280882835,5
val,spo2,0.02434302307665348,0.0030839170794934034,0.02424553968012333,0.019926825538277626,0.029621919617056847,0.02038014680147171,6
val,bis_slope,0.0215961504727602,0.002665749052539468,0.02184593863785267,0.018238581717014313,0.02599947899580002,0.007258850149810314,7
val,dbp,0.019719982519745827,0.00281922216527164,0.01988513022661209,0.015419348143041134,0.02393179200589657,0.006622132379561663,8
val,bis_sqi,0.018815068528056145,0.002523774281144142,0.019363075494766235,0.015699394047260284,0.023024307563900948,0.009257870726287365,9
val,sbp,0.016880061477422714,0.00202238280326128,0.017133550718426704,0.013751666992902756,0.019723625853657722,0.006678686942905188,10
val,rftn_ce,0.014661231078207493,0.0013346823398023844,0.014646421186625957,0.012940851040184498,0.017369946464896202,0.005212728399783373,11
val,rftn_rate,0.014238483272492886,0.0011798242339864373,0.014262648299336433,0.012460901401937008,0.016235332936048508,0.005363028030842543,12
val,etco2,0.01373616885393858,0.0008215415291488171,0.013901662081480026,0.012579354457557201,0.015250391326844692,0.00492759607732296,13
val,ppf_volume,0.011741896159946918,0.0010378756560385227,0.011581247672438622,0.010299068875610828,0.013498199172317982,0.0024158002343028784,14
val,mbp,0.011332334950566292,0.0011453698389232159,0.011218876577913761,0.009413470514118671,0.013369929976761341,0.003053050022572279,15
val,hr,0.011275244876742363,0.001042049378156662,0.011332407593727112,0.009737624786794186,0.012794125825166702,0.0028792046941816807,16
val,ppf_ce,0.010285946540534496,0.000647958368062973,0.010272575542330742,0.009245920926332474,0.011339825578033924,0.001892408006824553,17
test,bis,0.6041454672813416,0.05577853322029114,0.6055053472518921,0.502315104007721,0.698209822177887,0.8266552090644836,1
test,ppf_cp,0.11744154989719391,0.022054120898246765,0.12141009420156479,0.07973263412714005,0.15896430611610413,0.050532903522253036,2
test,rftn_cp,0.032691434025764465,0.014927833341062069,0.033909525722265244,0.0,0.05453719198703766,0.014407294802367687,3
test,ppf_rate,0.032692816108465195,0.005485319998115301,0.03174547851085663,0.02220017835497856,0.041810210794210434,0.01400337740778923,4
test,rftn_volume,0.023892033845186234,0.010650791227817535,0.026894791051745415,0.0,0.03775080665946007,0.01724906452000141,5
test,spo2,0.025199444964528084,0.004040659870952368,0.02520153298974037,0.0175836943089962,0.032665472477674484,0.02013767510652542,6
test,bis_slope,0.022369155660271645,0.0036671983543783426,0.022405756637454033,0.01565553992986679,0.02952427789568901,0.007720025721937418,7
test,dbp,0.020070085301995277,0.003494473872706294,0.020447345450520515,0.013914495706558228,0.02797768823802471,0.0069213733077049255,8
test,bis_sqi,0.019542191177606583,0.003506225533783436,0.019952094182372093,0.01337563805282116,0.02665373496711254,0.009876168332993984,9
test,sbp,0.017668001353740692,0.002789159305393696,0.017307037487626076,0.012517162598669529,0.021936550736427307,0.007219003513455391,10
test,rftn_ce,0.012331853620707989,0.005325924605131149,0.014382068067789078,0.0,0.01834205538034439,0.00444665364921093,11
test,rftn_rate,0.012192920781672001,0.005218835081905127,0.014184889383614063,0.0,0.017522914335131645,0.004691296722739935,12
test,etco2,0.014159053564071655,0.001597182359546423,0.014022287912666798,0.011435872875154018,0.017423130571842194,0.005247904919087887,13
test,ppf_volume,0.01203442458063364,0.0017486693104729056,0.012052695266902447,0.009264583699405193,0.01504963357001543,0.0025977829936891794,14
test,mbp,0.011789183132350445,0.002300399588420987,0.011526673100888729,0.008486194536089897,0.017126010730862617,0.003316025948151946,15
test,hr,0.011346953921020031,0.0015468283090740442,0.01130721252411604,0.009017445147037506,0.014871844090521336,0.0029858166817575693,16
test,ppf_ce,0.010433545336127281,0.0014106014277786016,0.01032683253288269,0.008221530355513096,0.013155345804989338,0.0019926680251955986,17
