split,model,pooled_mae,pooled_rmse,r_squared,patient_mean_mae,patient_median_mae,patient_mae_standard_deviation,patient_mae_interquartile_range,patient_mean_rmse,bis_below_40_mae,bis_40_to_60_mae,bis_above_60_mae,high_bis_auprc,high_bis_auroc,low_bis_auprc,low_bis_auroc,parameter_count,prediction_inference_seconds,inference_including_attention_seconds
val,persistence,3.3314561726728487,4.743367177998911,0.7835169274090373,3.4980235235370785,3.246997685142417,0.7078827768929792,1.0554878389785798,4.989662248572927,3.079535690561529,3.3699858772125015,4.179024993034055,0.7901357654345039,0.9744334302406743,0.8796624402483704,0.9236077932496043,0,0.0001689000055193901,
val,gru_seed_42,3.222454710881559,4.4941258770773596,0.8056695214744791,3.398801996071538,3.3788752692307686,0.6182726260250027,0.9382939662774485,4.732892311504994,2.9762414225977127,3.123408483968848,5.096939,0.8193760653203116,0.9771028388358692,0.8919438148540622,0.9305731763868996,30209,1.60119040007703,
val,factorized_attention_gru_seed_42,3.193588381676253,4.447197352234376,0.8097068040997764,3.382908277104005,3.269439947441217,0.5940288072827548,0.951864778492876,4.706542072524344,3.028916242703533,3.116890784363305,4.527275074303406,0.8324614850962706,0.9799763387743272,0.8894591425530326,0.9298817176361188,24995,2.147216499899514,2.024775499943644
val,attention_minus_gru_seed_42,-0.028866329205305963,-0.0469285248429836,,-0.015893718967532777,,,,,0.05267482010582025,-0.006517699605542937,-0.5696639256965943,0.013085419775959006,0.0028734999384579796,-0.0024846723010295557,-0.0006914587507808045,-5214,0.546026099822484,
val,attention_minus_persistence,-0.13786779099659574,-0.2961698257645349,,-0.11511524643307336,,,,,-0.050619447857996214,-0.2530950928491964,0.34825008126935053,0.04232571966176668,0.005542908533652913,0.00979670230466223,0.006273924386514529,24995,2.1470475998939946,
test,persistence,3.3734448562441206,4.736802832727691,0.7839569309638809,3.4964561526000297,3.369527899141631,0.6423631929227767,0.8415602842289909,4.851500114450443,3.0031235462734274,3.553118112272121,4.1994687404782995,0.8401844446319434,0.9804923092267023,0.8673514732756353,0.8994170572335132,0,0.00023619993589818478,
test,gru_seed_42,3.242818412335372,4.427958120743224,0.8112109800601852,3.358010496212274,3.337932001996008,0.4795345544006486,0.4963997866426486,4.544000792423399,2.9851912000581144,3.259752577145398,4.678521118689106,0.8739483713685856,0.985717721000228,0.8748432471455323,0.904192386681805,30209,1.3314954000525177,
test,factorized_attention_gru_seed_42,3.234029378645343,4.4347686673423805,0.810629788829515,3.338877871524016,3.2808908347639485,0.4935803973045169,0.5475422078983305,4.543720255676635,2.9081463020485256,3.3156298757225433,4.5705884083259525,0.8712972149249157,0.9850502507587411,0.8701268424662532,0.9011280036877403,24995,2.0112485999707133,2.5613517001038417
test,attention_minus_gru_seed_42,-0.008789033690028702,0.006810546599156808,,-0.019132624688257938,,,,,-0.0770448980095888,0.05587729857714541,-0.1079327103631531,-0.0026511564436698665,-0.0006674702414869449,-0.00471640467927914,-0.0030643829940647516,-5214,0.6797531999181956,
test,attention_minus_persistence,-0.13941547759877748,-0.3020341653853107,,-0.15757828107601357,,,,,-0.09497724422490172,-0.23748823654957762,0.37111966784765293,0.031112770292972325,0.004557941532038812,0.002775369190617827,0.0017109464542270914,24995,2.011012400034815,
