split,time_lag_seconds,mean_temporal_attention,standard_deviation_across_cases,median_across_cases,minimum_case_attention,maximum_case_attention,validation_rank
val,0,0.8437636494636536,0.059961456805467606,0.8177390694618225,0.7550052404403687,0.9522299766540527,1
val,-10,0.07945097237825394,0.026829272508621216,0.0885835587978363,0.02842845395207405,0.11784517765045166,2
val,-20,0.04788697138428688,0.018889734521508217,0.05833454057574272,0.015039777383208275,0.07336527854204178,3
val,-50,0.010452010668814182,0.005211555864661932,0.012266977690160275,0.0017081761034205556,0.0190004613250494,4
val,-40,0.009609559550881386,0.005012711975723505,0.011180248111486435,0.001435376238077879,0.017780793830752373,5
val,-30,0.008836804889142513,0.004712508991360664,0.010052511468529701,0.0011581808794289827,0.017003173008561134,6
test,0,0.831349790096283,0.08436816930770874,0.8273297548294067,0.6997833251953125,0.9718369245529175,1
test,-10,0.08644649386405945,0.03874509781599045,0.08663418143987656,0.018053242936730385,0.15318545699119568,2
test,-20,0.04951496422290802,0.02433551661670208,0.05324777215719223,0.00801075343042612,0.08518947660923004,3
test,-50,0.011698196642100811,0.008335908874869347,0.010010509751737118,0.0008602180751040578,0.029468482360243797,4
test,-40,0.010861021466553211,0.007988544180989265,0.009080084972083569,0.000677761621773243,0.028027724474668503,5
test,-30,0.010129587724804878,0.007876910269260406,0.008197410963475704,0.0005612919921986759,0.027851050719618797,6
