epoch,train_loss,validation_loss,validation_pooled_mae,validation_rmse,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,17.769503686639432,3.864233939129081,4.3337035824511165,6.000477027986702,4.633347442611542,17.777473800000735,1.9773391999769956,0.001
2,3.482196286223623,3.015199354324896,3.4806534707483263,4.741327653370972,3.635936228470529,14.820909400004894,1.7620287999743596,0.001
3,3.0456835229535755,2.9107062167608624,3.375489645544975,4.583030118781965,3.5413587744504498,14.531394500052556,1.9731784999603406,0.001
4,2.9714929031354242,2.8165281025480953,3.2770205336650333,4.523912814209066,3.4512927310411396,13.842271300032735,1.7822655000491068,0.001
5,2.9594866523363823,2.758164278427359,3.2138235055444553,4.465359073533968,3.4361077380407474,14.06005049997475,1.8060398999368772,0.001
6,2.9262721348978817,2.779801501818058,3.2408485719331734,4.458014201015786,3.426213065071184,13.72640390007291,1.6914839999517426,0.001
7,2.9180316893710034,2.7465039373129825,3.2033330758617913,4.458960865480857,3.4138513936922377,14.275776499998756,1.7276584999635816,0.001
8,2.910763957961138,2.796728389729691,3.2535761520747553,4.492352672550016,3.47257483186136,15.422450100071728,2.027392099960707,0.001
9,2.8921651607536827,2.7648317661625716,3.2240098385005393,4.458070663805617,3.418574040237469,16.03198800003156,1.6243582000024617,0.001
10,2.8822903288390944,2.737255963798923,3.193588376730901,4.447197355877532,3.3829082589904305,14.163522699964233,2.121709599974565,0.001
11,2.8722667229233023,2.7332255761099193,3.1921225035186382,4.415457211604145,3.3896927150349323,15.208256000070833,1.9932762999087572,0.001
12,2.8688090282825724,2.736334368549808,3.195069118597821,4.422153282872501,3.3897749621582998,14.820021699997596,2.236816299962811,0.001
13,2.8704290301569606,2.7898338485847183,3.2472147794379387,4.494169283125742,3.4409140574634867,14.957144899992272,1.815275099943392,0.001
14,2.8579006882223643,2.765902841856592,3.2239315964579793,4.469162017137754,3.4254215260151377,14.594685500022024,2.740028499974869,0.001
15,2.888875345433735,2.7463222673933108,3.2052630288932003,4.4333064088887655,3.3951101829251535,23.30985769990366,1.8474973000120372,0.001
16,2.8685542959948953,2.8402265778084934,3.3036355869299032,4.502117123879067,3.4956054056371366,16.177581600029953,1.9323016999987885,0.001
17,2.8620670302516267,2.7990270913074045,3.2612815662817938,4.45089599319394,3.453489297173564,16.341360999969766,1.8233506999677047,0.001
18,2.8632397636629743,2.7893507867117475,3.250691609562304,4.452565505009143,3.4523480270609146,15.15472160000354,1.8728055000538006,0.001
