split,model,pooled_mae,pooled_rmse,patient_mean_mae,bis_below_40_mae,bis_40_to_60_mae,bis_above_60_mae,high_bis_auprc,high_bis_auroc,low_bis_auprc,low_bis_auroc,parameter_count,training_runtime_seconds,runtime_source
val,original_gru_18,3.205640497534922,4.463544894237956,3.386568205232208,2.9228022933947777,3.144504977040558,4.956101743034056,0.8233386500570506,0.9790434270200423,0.8886503114730216,0.9301034275049493,30337,,not recorded by the original training implementation
val,original_attention_18,3.1669800270571664,4.468997687672255,3.368623176113309,3.1222500735620415,3.0558757893193085,4.220045349071207,0.8171894689499624,0.9781041742774911,0.8900438282381238,0.9300750830245937,25011,1106.7256385000073,attention_metadata.json total_internal_runtime_seconds
val,reduced_gru_17,3.222454710881559,4.4941258770773596,3.398801996071538,2.9762414225977127,3.123408483968848,5.096939,0.8193760653203116,0.9771028388358692,0.8919438148540622,0.9305731763868996,30209,1615.2501671999926,runtime.json total_internal_runtime_seconds
val,reduced_attention_17,3.193588381676253,4.447197352234376,3.382908277104005,3.028916242703533,3.116890784363305,4.527275074303406,0.8324614850962706,0.9799763387743272,0.8894591425530326,0.9298817176361188,24995,325.7738752999576,attention_metadata.json total_internal_runtime_seconds
val,reduced_gru_minus_original_gru,0.016814213346636908,0.030580982839403248,0.012233790839329739,0.05343912920293503,-0.021096493071710132,0.14083725696594396,-0.00396258473673905,-0.0019405881841730865,0.003293503381040508,0.00046974888195028264,-128,,difference row
val,reduced_attention_minus_original_attention,0.026608354619086505,-0.02180033543787907,0.01428510099069591,-0.09333383085850855,0.061014995043996656,0.30722972523219827,0.015272016146308243,0.0018721644968361373,-0.0005846856850911797,-0.0001933653884749198,-16,,difference row
val,reduced_attention_minus_reduced_gru,-0.028866329205305963,-0.0469285248429836,-0.015893718967532777,0.05267482010582025,-0.006517699605542937,-0.5696639256965943,0.013085419775959006,0.0028734999384579796,-0.0024846723010295557,-0.0006914587507808045,-5214,,difference row
test,original_gru_18,3.174414620413923,4.3704286272718615,3.293206405649386,2.7291128218799945,3.3558656535126725,4.443394944198406,0.8741609430215174,0.9860819123094933,0.8800339023445312,0.908343497936408,30337,,not recorded by the original training implementation
test,original_attention_18,3.1533778229068674,4.4099874504158825,3.2887390042168856,2.887765392706669,3.2045424744330813,4.365010375553587,0.8626413418974795,0.9836798059461078,0.8810936045628109,0.9087069268891149,25011,1106.7256385000073,attention_metadata.json total_internal_runtime_seconds
test,reduced_gru_17,3.242818412335372,4.427958120743224,3.358010496212274,2.9851912000581144,3.259752577145398,4.678521118689106,0.8739483713685856,0.985717721000228,0.8748432471455323,0.904192386681805,30209,1615.2501671999926,runtime.json total_internal_runtime_seconds
test,reduced_attention_17,3.234029378645343,4.4347686673423805,3.338877871524016,2.9081463020485256,3.3156298757225433,4.5705884083259525,0.8712972149249157,0.9850502507587411,0.8701268424662532,0.9011280036877403,24995,325.7738752999576,attention_metadata.json total_internal_runtime_seconds
test,reduced_gru_minus_original_gru,0.06840379192144885,0.05752949347136216,0.06480409056288794,0.25607837817811996,-0.09611307636727462,0.2351261744906994,-0.00021257165293175895,-0.00036419130926523824,-0.005190655198998861,-0.0041511112546029905,-128,,difference row
test,reduced_attention_minus_original_attention,0.08065155573847571,0.02478121692649804,0.050138867307130575,0.020380909341856768,0.11108740128946204,0.2055780327723653,0.0086558730274362,0.0013704448126332647,-0.01096676209655778,-0.007578923201374654,-16,,difference row
test,reduced_attention_minus_reduced_gru,-0.008789033690028702,0.006810546599156808,-0.019132624688257938,-0.0770448980095888,0.05587729857714541,-0.1079327103631531,-0.0026511564436698665,-0.0006674702414869449,-0.00471640467927914,-0.0030643829940647516,-5214,,difference row
