seed,contribution_model,comparison,spearman_correlation,top_5_overlap_count,top_5_jaccard,top_10_overlap_count,top_10_jaccard,mean_correlation_across_seeds,sample_sd_correlation_across_seeds,positive_correlation_seed_count
7,gru,feature_attention_vs_feature_unavailable_ablation,0.41666666666666674,2.0,0.25,8.0,0.6666666666666666,0.27941176470588236,0.23544087539222974,4
7,gru,group_attention_vs_group_unavailable_ablation,0.6,,,,,0.68,0.28742345919906953,5
7,gru,group_attention_vs_within_patient_permutation,0.2571428571428572,,,,,0.6685714285714286,0.2661900502594769,5
21,gru,feature_attention_vs_feature_unavailable_ablation,0.48774509803921573,2.0,0.25,8.0,0.6666666666666666,0.27941176470588236,0.23544087539222974,4
21,gru,group_attention_vs_group_unavailable_ablation,0.942857142857143,,,,,0.68,0.28742345919906953,5
21,gru,group_attention_vs_within_patient_permutation,0.7142857142857143,,,,,0.6685714285714286,0.2661900502594769,5
42,gru,feature_attention_vs_feature_unavailable_ablation,0.32107843137254904,2.0,0.25,7.0,0.5384615384615384,0.27941176470588236,0.23544087539222974,4
42,gru,group_attention_vs_group_unavailable_ablation,0.3142857142857143,,,,,0.68,0.28742345919906953,5
42,gru,group_attention_vs_within_patient_permutation,0.6571428571428573,,,,,0.6685714285714286,0.2661900502594769,5
84,gru,feature_attention_vs_feature_unavailable_ablation,0.28921568627450983,2.0,0.25,6.0,0.42857142857142855,0.27941176470588236,0.23544087539222974,4
84,gru,group_attention_vs_group_unavailable_ablation,1.0,,,,,0.68,0.28742345919906953,5
84,gru,group_attention_vs_within_patient_permutation,1.0,,,,,0.6685714285714286,0.2661900502594769,5
123,gru,feature_attention_vs_feature_unavailable_ablation,-0.11764705882352941,2.0,0.25,5.0,0.3333333333333333,0.27941176470588236,0.23544087539222974,4
123,gru,group_attention_vs_group_unavailable_ablation,0.5428571428571429,,,,,0.68,0.28742345919906953,5
123,gru,group_attention_vs_within_patient_permutation,0.7142857142857143,,,,,0.6685714285714286,0.2661900502594769,5
7,attention,feature_attention_vs_feature_unavailable_ablation,0.8627450980392157,5.0,1.0,8.0,0.6666666666666666,0.6157647419667178,0.21033481320166958,5
7,attention,group_attention_vs_group_unavailable_ablation,1.0,,,,,0.9199999999999999,0.09561828874675146,5
7,attention,group_attention_vs_within_patient_permutation,0.6571428571428573,,,,,0.8171428571428573,0.12388276222102167,5
21,attention,feature_attention_vs_feature_unavailable_ablation,0.28921568627450983,4.0,0.6666666666666666,5.0,0.3333333333333333,0.6157647419667178,0.21033481320166958,5
21,attention,group_attention_vs_group_unavailable_ablation,0.7714285714285715,,,,,0.9199999999999999,0.09561828874675146,5
21,attention,group_attention_vs_within_patient_permutation,0.8285714285714287,,,,,0.8171428571428573,0.12388276222102167,5
42,attention,feature_attention_vs_feature_unavailable_ablation,0.5833333333333334,4.0,0.6666666666666666,7.0,0.5384615384615384,0.6157647419667178,0.21033481320166958,5
42,attention,group_attention_vs_group_unavailable_ablation,0.942857142857143,,,,,0.9199999999999999,0.09561828874675146,5
42,attention,group_attention_vs_within_patient_permutation,0.7714285714285715,,,,,0.8171428571428573,0.12388276222102167,5
84,attention,feature_attention_vs_feature_unavailable_ablation,0.7034313725490197,5.0,1.0,8.0,0.6666666666666666,0.6157647419667178,0.21033481320166958,5
84,attention,group_attention_vs_group_unavailable_ablation,0.8857142857142858,,,,,0.9199999999999999,0.09561828874675146,5
84,attention,group_attention_vs_within_patient_permutation,0.8285714285714287,,,,,0.8171428571428573,0.12388276222102167,5
123,attention,feature_attention_vs_feature_unavailable_ablation,0.6400982196375107,4.0,0.6666666666666666,8.0,0.6666666666666666,0.6157647419667178,0.21033481320166958,5
123,attention,group_attention_vs_group_unavailable_ablation,1.0,,,,,0.9199999999999999,0.09561828874675146,5
123,attention,group_attention_vs_within_patient_permutation,1.0,,,,,0.8171428571428573,0.12388276222102167,5
