epoch,train_loss,validation_loss,validation_pooled_mae,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,17.35505974556349,3.238348620754268,3.704196701672229,3.7979832462201495,12.606908500000031,1.736626200000046,0.001
2,3.0514105143086727,2.9275654996136904,3.3916523801649325,3.579540414237669,9.359514900000022,1.5226698999999826,0.001
3,2.867562114462916,2.737114110537602,3.1932606959597636,3.381091321785639,8.941023900000005,1.4091955999999755,0.001
4,2.8480623240364333,2.8523998716960897,3.3098662808854082,3.4555045686978922,9.40781370000002,1.6031977999999754,0.001
5,2.833353042477184,2.7693237776151216,3.2265965964036,3.401807128164737,8.891268200000013,1.435641099999998,0.001
6,2.8168384621852645,2.7817509242634437,3.2426354089999565,3.411600741926061,9.163472999999954,1.382159300000012,0.001
7,2.788553619795652,2.761187427997421,3.2192054054017554,3.4041632820042977,9.204419099999996,1.603595299999938,0.001
8,2.8067029259231675,2.8712031372501086,3.334666185304024,3.4939128020794863,9.394958599999882,1.4498254000000088,0.001
9,2.7690974323910065,2.7775161676331854,3.2352010086817224,3.458661465736911,8.856144500000028,1.2549364999999852,0.001
10,2.8128068171958427,2.851985222101911,3.313039398372474,3.4790904457426732,10.628983000000062,2.094236599999931,0.001
11,2.7446119289738045,2.7974766327862115,3.2546421829726944,3.430178683178083,14.355019100000163,2.10226160000002,0.001
