seed,split,feature_normalized_entropy,feature_mean_top_1_weight,feature_top_3_cumulative_weight,feature_top_1_over_0_5,feature_top_1_over_0_75,feature_top_1_over_0_9,temporal_normalized_entropy,temporal_mean_maximum_weight,temporal_max_over_0_5,temporal_max_over_0_75,temporal_max_over_0_9,combined_mean_maximum_cell,combined_top_5_cumulative_weight,possible_numerical_collapse
7,val,0.06644730601528151,0.9470196962356567,0.9912667870521545,0.9931134327190202,0.9586610322025276,0.767754431271276,0.4500757506861132,0.6988060474395752,0.9560394412489729,0.29892006104002816,0.02705716633407677,0.6923120021820068,0.9886220693588257,False
7,test,0.06646042289333177,0.9462992548942566,0.9917813539505005,0.9924447318908749,0.9506310755722797,0.7831608654750706,0.44065310573507277,0.708592414855957,0.9718367826904986,0.3227304797742239,0.0416862652869238,0.6995137333869934,0.9890269041061401,False
21,val,0.06340756373777227,0.9617593288421631,0.9881797432899475,0.993191689165395,0.975055757718042,0.9041847634698909,0.313087488386269,0.859156608581543,0.9876746096959738,0.8753961732597723,0.41501349923699965,0.8428397178649902,0.9714924693107605,True
21,test,0.06311699099878075,0.9608263373374939,0.9884128570556641,0.9915039981185324,0.965516227657573,0.9125117591721543,0.285147522220169,0.8726123571395874,0.988593603010348,0.8945202257761053,0.49000470366886173,0.8535985946655273,0.9748764634132385,True
42,val,0.5387145578208069,0.5821754932403564,0.7645044922828674,0.6963845521774856,0.24047227765387175,0.046034354579958525,0.32917396496072654,0.8456329703330994,1.0,0.8937081817114685,0.28031459091442656,0.7350934147834778,0.8532965779304504,False
42,test,0.5321704848614808,0.5972647666931152,0.7697613835334778,0.7316164941988084,0.2598385073690812,0.06440106616494198,0.3594755043363916,0.824541449546814,0.9991768579492004,0.7784571966133584,0.24100423330197554,0.7213847637176514,0.8495510220527649,False
84,val,0.0795854126099548,0.9365808963775635,0.9956926703453064,0.9985718198536604,0.925998747896858,0.8130257854990804,0.32137828719386347,0.8574889898300171,0.9988848456391596,0.876746096959737,0.3572015494776382,0.8557146191596985,0.980045735836029,True
84,test,0.08634225169489058,0.9313601851463318,0.9952017068862915,0.9990886641580433,0.8864357949200377,0.8067870021950455,0.25373416109727503,0.8915305733680725,0.9966486359360301,0.9260348071495766,0.57802210724365,0.8896682858467102,0.9854390621185303,True
123,val,0.025294361259161992,0.9883758425712585,0.9971671104431152,0.9999902179442032,0.9994717689869703,0.9983566146261298,0.34051421685433336,0.8536188006401062,0.9993543843174082,0.8655358610165512,0.3691747857729781,0.834225594997406,0.9705246686935425,True
123,test,0.02540420587791469,0.9883622527122498,0.9972698092460632,0.9999706020696143,0.9995198338037002,0.9976971621197868,0.2851668889353271,0.8811116218566895,0.9992356538099718,0.8936970837253058,0.5432737535277516,0.8605640530586243,0.9747541546821594,True
