split,metric,mean,sample_standard_deviation,minimum,maximum
val,feature_normalized_entropy,0.1546898402885955,0.21562586092185548,0.025294361259161992,0.5387145578208069
val,feature_mean_top_1_weight,0.8831822514533997,0.16938989921865258,0.5821754932403564,0.9883758425712585
val,feature_top_3_cumulative_weight,0.9473621606826782,0.10228268346114212,0.7645044922828674,0.9971671104431152
val,feature_top_1_over_0_5,0.9362503423719529,0.13412500104152367,0.6963845521774856,0.9999902179442032
val,feature_top_1_over_0_75,0.8199319168916539,0.3250259136065706,0.24047227765387175,0.9994717689869703
val,feature_top_1_over_0_9,0.7058711898892671,0.37933240347519437,0.046034354579958525,0.9983566146261298
val,temporal_normalized_entropy,0.35084594161626115,0.05638487732591277,0.313087488386269,0.4500757506861132
val,temporal_mean_maximum_weight,0.8229406833648681,0.06958928315950755,0.6988060474395752,0.859156608581543
val,temporal_max_over_0_5,0.9883906561803029,0.01878977142681293,0.9560394412489729,1.0
val,temporal_max_over_0_75,0.7620612747975114,0.25910185719992473,0.29892006104002816,0.8937081817114685
val,temporal_max_over_0_9,0.28975231834722387,0.1546330366870922,0.02705716633407677,0.41501349923699965
val,combined_mean_maximum_cell,0.7920370697975159,0.07349027139570628,0.6923120021820068,0.8557146191596985
val,combined_top_5_cumulative_weight,0.9527963042259217,0.056102704923385725,0.8532965779304504,0.9886220693588257
test,feature_normalized_entropy,0.15469887126527973,0.2121602116160554,0.02540420587791469,0.5321704848614808
test,feature_mean_top_1_weight,0.8848225593566894,0.16212006445642496,0.5972647666931152,0.9883622527122498
test,feature_top_3_cumulative_weight,0.9484854221343995,0.09996667873836831,0.7697613835334778,0.9972698092460632
test,feature_top_1_over_0_5,0.9429248980871746,0.11818625704345564,0.7316164941988084,0.9999706020696143
test,feature_top_1_over_0_75,0.8123882878645343,0.31159739368725453,0.2598385073690812,0.9995198338037002
test,feature_top_1_over_0_9,0.7129115710253998,0.3725776774263081,0.06440106616494198,0.9976971621197868
test,temporal_normalized_entropy,0.3248354364648471,0.07552778028054083,0.25373416109727503,0.44065310573507277
test,temporal_mean_maximum_weight,0.8356776833534241,0.0755358183100342,0.708592414855957,0.8915305733680725
test,temporal_max_over_0_5,0.9910983066792097,0.011614273660500815,0.9718367826904986,0.9992356538099718
test,temporal_max_over_0_75,0.763087958607714,0.2525053378189225,0.3227304797742239,0.9260348071495766
test,temporal_max_over_0_9,0.3787982126058326,0.23007655963195606,0.0416862652869238,0.57802210724365
test,combined_mean_maximum_cell,0.8049458861351013,0.08765949972042034,0.6995137333869934,0.8896682858467102
test,combined_top_5_cumulative_weight,0.9547295212745667,0.05913710401926317,0.8495510220527649,0.9890269041061401
