seed,split,pooled_mae_difference_gru_minus_persistence,pooled_rmse_difference_gru_minus_persistence,patient_mean_mae_difference_gru_minus_persistence,bis_below_40_mae_difference_gru_minus_persistence,bis_40_to_60_mae_difference_gru_minus_persistence,bis_above_60_mae_difference_gru_minus_persistence,high_bis_auprc_difference_gru_minus_persistence,high_bis_auroc_difference_gru_minus_persistence,low_bis_auprc_difference_gru_minus_persistence,low_bis_auroc_difference_gru_minus_persistence
7,val,-0.14966798720507013,-0.3334554127543603,-0.12959289781151417,-0.020590945041816244,-0.3275662244361288,0.6263517352941186,0.0394999509379933,0.005445335962271147,0.009732744619084244,0.005780289191870236
7,test,-0.20315208895813752,-0.3693287290061642,-0.20328244923786087,-0.10539253189016451,-0.3250761357269898,0.17235693976970712,0.034280048671825325,0.005501414009433936,0.014326841236647292,0.008666089112018716
21,val,-0.15369575607465613,-0.32797484623450046,-0.12095935391504886,0.057357179211469766,-0.36641218236067585,0.5170226331269356,0.034195162451315486,0.004863636310013075,0.009164052402230172,0.006087597406574052
21,test,-0.22941327440028214,-0.40088852764835536,-0.2238644750943357,-0.06381637047798927,-0.3993942887950199,0.11544564127546497,0.036687418379451775,0.005477986172109595,0.013533578813141989,0.009290120766318188
42,val,-0.12581567513792669,-0.2798222837609545,-0.11145531830487032,-0.1567333971667515,-0.22548090017194333,0.7770767500000009,0.033202884622546724,0.00460999677936802,0.008987871224651278,0.006495634255345051
42,test,-0.19903023583019763,-0.36637420545582966,-0.20324974695064357,-0.2740107243934329,-0.1972524587594484,0.24392620372010665,0.03397649838957395,0.005589603082790995,0.012682429068895829,0.008926440702894833
84,val,-0.12919139711233685,-0.3029621807509697,-0.1252529481837561,0.046154893326506574,-0.356084542935168,0.8119375634674935,0.03892413800198258,0.004476688560935971,0.007744756747091741,0.005082364571210363
84,test,-0.15428536518109137,-0.3515071100203153,-0.17512844847524356,0.03587262661630097,-0.3764058656069369,0.45628909388839656,0.03436651606769725,0.004845323003218827,0.011055804581168394,0.006629401836336757
123,val,-0.1360111683296159,-0.31485077190238453,-0.1205036235138679,0.13155085902031116,-0.39383720633154695,0.6236483668730664,0.0376794296302857,0.004948576059810361,0.007802263301635803,0.00501436988052173
123,test,-0.13896914599012256,-0.3233917278200682,-0.15766526557463312,0.06324426427429897,-0.3372420915962646,0.20808888396811298,0.03028709376187999,0.004720486098618748,0.01207683224382039,0.007827386493472144
