candidate,model,seed,source_run_directory,checkpoint_path,checkpoint_name,checkpoint_sha256,config_sha256,training_git_commit,dynamic_feature_names,hash_status,large_artifact_copied
full17_reference,attention,7,outputs/group_retraining_validation_only/full17/attention/seed_7,outputs/group_retraining_validation_only/full17/attention/seed_7/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
full17_reference,attention,21,outputs/group_retraining_validation_only/full17/attention/seed_21,outputs/group_retraining_validation_only/full17/attention/seed_21/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
full17_reference,attention,42,outputs/group_retraining_validation_only/full17/attention/seed_42,outputs/group_retraining_validation_only/full17/attention/seed_42/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
full17_reference,attention,84,outputs/group_retraining_validation_only/full17/attention/seed_84,outputs/group_retraining_validation_only/full17/attention/seed_84/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
full17_reference,attention,123,outputs/group_retraining_validation_only/full17/attention/seed_123,outputs/group_retraining_validation_only/full17/attention/seed_123/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
full17_reference,gru,7,outputs/group_retraining_validation_only/full17/gru/seed_7,outputs/group_retraining_validation_only/full17/gru/seed_7/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
full17_reference,gru,21,outputs/group_retraining_validation_only/full17/gru/seed_21,outputs/group_retraining_validation_only/full17/gru/seed_21/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
full17_reference,gru,42,outputs/group_retraining_validation_only/full17/gru/seed_42,outputs/group_retraining_validation_only/full17/gru/seed_42/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
full17_reference,gru,84,outputs/group_retraining_validation_only/full17/gru/seed_84,outputs/group_retraining_validation_only/full17/gru/seed_84/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
full17_reference,gru,123,outputs/group_retraining_validation_only/full17/gru/seed_123,outputs/group_retraining_validation_only/full17/gru/seed_123/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""hr"",""mbp"",""sbp"",""dbp"",""spo2"",""etco2"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""ppf_ce"",""rftn_rate"",""rftn_volume"",""rftn_cp"",""rftn_ce"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,attention,7,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_7,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_7/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,attention,21,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_21,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_21/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,attention,42,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_42,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_42/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,attention,84,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_84,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_84/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,attention,123,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_123,outputs/frozen_candidate_retraining_validation_only/strict_consensus/attention/seed_123/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,gru,7,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_7,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_7/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,gru,21,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_21,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_21/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,gru,42,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_42,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_42/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,gru,84,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_84,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_84/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
strict_consensus,gru,123,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_123,outputs/frozen_candidate_retraining_validation_only/strict_consensus/gru/seed_123/best_model.pt,best_model.pt,,,,"[""bis"",""bis_sqi"",""ppf_rate"",""ppf_volume"",""ppf_cp"",""rftn_volume"",""bis_slope""]",pending_drive_preflight,False
